,policy_id,policy_type,policy_description,policyholder_name,policy_start_date,policy_end_date,policy_length,premium_amount,estimated_coverage_total,deductible_amount
0,Paf64a83b0,Flood insurance,A type of insurance policy that provides coverage for damage to property caused by flooding. Flood insurance is typically not included in standard homeowners insurance policies and must be purchased separately.,Gabriela Larsen,2006-03-02,2006-06-18,108 days,587,2113.2,900
1,Paf64cf5b1,Auto insurance,"A type of insurance policy that protects drivers against financial loss if they are involved in a car accident. Auto insurance can cover damage to the insured vehicle, medical expenses, liability for damages to others, and other related expenses.",Kathleen Brantley,2012-04-01,2012-07-10,100 days,1536,5120.0,1300
2,Paf64cf5d2,Flood insurance,A type of insurance policy that provides coverage for damage to property caused by flooding. Flood insurance is typically not included in standard homeowners insurance policies and must be purchased separately.,Jeffrey Quevedo,2014-08-19,2015-01-09,143 days,1808,8618.13,200
3,Paf64f6703,Umbrella insurance,A type of insurance policy that provides additional liability coverage above and beyond the limits of other insurance policies. Umbrella insurance can provide protection for individuals or businesses against catastrophic losses or legal judgments that exceed the limits of their primary insurance policies.,Josephine Funk,2020-11-05,2021-04-28,174 days,1047,6072.6,1300
4,Paf64f6714,Pet insurance,"A type of insurance policy that provides coverage for veterinary expenses related to the care of the policyholder's pet. Pet insurance can help cover expenses like medical treatments, surgeries, and medications.",Patricia Stuart,2019-11-10,2020-05-16,188 days,1843,11549.47,200
5,Paf64f6725,Umbrella insurance,A type of insurance policy that provides additional liability coverage above and beyond the limits of other insurance policies. Umbrella insurance can provide protection for individuals or businesses against catastrophic losses or legal judgments that exceed the limits of their primary insurance policies.,Claude White,2017-08-04,2017-10-25,82 days,499,1363.93,500
6,Paf64f6746,Health insurance,"A type of insurance policy that covers the medical and surgical expenses of the policyholder. Health insurance can cover hospital stays, doctor visits, prescription medications, and other health-related expenses.",Virginia Marquez,2021-10-25,2022-10-08,348 days,1246,14453.6,1800
7,Paf64f6767,Pet insurance,"A type of insurance policy that provides coverage for veterinary expenses related to the care of the policyholder's pet. Pet insurance can help cover expenses like medical treatments, surgeries, and medications.",James Rodgers,2021-12-16,2022-09-08,266 days,2136,18939.2,1500
8,Paf64f6778,Homeowners insurance,"A type of insurance policy that provides coverage for damage to the policyholder's home, as well as liability coverage for injuries or damage caused by the policyholder or their family members. Homeowners insurance may also cover personal belongings and additional living expenses if the policyholder's home is uninhabitable.",Timothy Miller,2014-04-18,2014-07-10,83 days,2224,6153.07,1800
9,Paf651d7f9,Pet insurance,"A type of insurance policy that provides coverage for veterinary expenses related to the care of the policyholder's pet. Pet insurance can help cover expenses like medical treatments, surgeries, and medications.",Thomas Smith,2016-09-22,2017-04-11,201 days,2691,18029.7,700
10,Paf651d8010,Pet insurance,"A type of insurance policy that provides coverage for veterinary expenses related to the care of the policyholder's pet. Pet insurance can help cover expenses like medical treatments, surgeries, and medications.",John Webb,2022-02-11,2022-11-20,282 days,1633,15350.2,1700
11,Paf651d8111,Umbrella insurance,A type of insurance policy that provides additional liability coverage above and beyond the limits of other insurance policies. Umbrella insurance can provide protection for individuals or businesses against catastrophic losses or legal judgments that exceed the limits of their primary insurance policies.,Robert Long,2018-12-09,2019-08-02,236 days,2257,17755.07,900
12,Paf651d8312,Life insurance,A type of insurance policy that pays out a lump sum of money to the policyholder's beneficiaries upon their death. Life insurance can provide financial security for the policyholder's loved ones and can help cover expenses like funeral costs and outstanding debts.,Edward Tedesco,2017-08-19,2017-12-17,120 days,1774,7096.0,1500
13,Paf651d8513,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",Christopher Weber,2019-01-02,2019-06-11,160 days,130,693.33,900
14,Paf651d8614,Health insurance,"A type of insurance policy that covers the medical and surgical expenses of the policyholder. Health insurance can cover hospital stays, doctor visits, prescription medications, and other health-related expenses.",Rita Hurst,2022-02-08,2022-08-13,186 days,2130,13206.0,800
15,Paf651d8715,Homeowners insurance,"A type of insurance policy that provides coverage for damage to the policyholder's home, as well as liability coverage for injuries or damage caused by the policyholder or their family members. Homeowners insurance may also cover personal belongings and additional living expenses if the policyholder's home is uninhabitable.",Paul Larkin,2020-10-03,2021-02-12,132 days,590,2596.0,1100
