,id,relationship_type,first_name,last_name,address_line_1,address_line_2,address_city,address_state,address_zipcode,address_lat,address_lng,gender,race,marital_status,us_citizen,phone_number,dob
0,0,0,Robert,Bark,2732 Rosedale Place,,Nashville,TN,37211,36.1230861,-86.7625204,1,4,Separated,1,5245789781,1959-03-28
1,1,2,Lynn,Schultz,816 West 19th Avenue,,Anchorage,AK,99503,61.203221,-149.898655,1,1,Divorced,1,8962947853,1981-11-07
2,2,0,Daniel,Shoals,8101 Vaughn Road,,Montgomery,AL,36117,32.3409202,-86.17272229999999,1,3,Divorced,1,2480209807,1978-12-28
3,3,1,Darryl,Lyons,8423 Pioneer Drive,,Severn,MD,21144,39.117099,-76.707649,1,4,Married,0,5832660329,1997-01-28
4,4,3,Marguerite,Thompson,56 Daley Lane,,Castleton,VT,05732,43.612961,-73.20607,1,3,Single,0,0755055994,1976-06-09
5,5,1,Ronald,Hofer,11256 Palos Verdes Court,,Cupertino,CA,95014,37.3044458,-122.0529017,1,0,Divorced,0,7961285242,1967-03-21
6,6,1,Michelle,Coyle,804 Old Coach Place,,Nashville,TN,37076,36.223864,-86.595253,0,1,Separated,1,9938609581,1970-12-09
7,7,3,Christopher,Gay,1501 New Hampshire Avenue,,Lynn Haven,FL,32444,30.2361205,-85.6624582,0,2,Divorced,1,4691706518,1961-04-05
8,8,3,Earl,Burley,654 Laurette Place,,Hayward,CA,94544,37.647646,-122.066458,1,0,Separated,1,8509688612,1963-04-09
9,9,3,John,Jordan,7854 Webster Way,,Arvada,CO,80003,39.839867,-105.076182,0,4,Separated,0,6408092620,1969-04-14
10,10,0,Latoya,Bantz,3823 Shannon Run Trail,,Louisville,KY,40299,38.189447,-85.60028600000001,1,3,Married,1,4795329367,1941-05-12
11,11,3,Ann,Woodie,5650 West 60th Avenue,A,Arvada,CO,80003,39.804868,-105.058319,1,1,Separated,1,6422629018,1979-10-21
12,12,1,Jamie,Godina,4511 43rd Place Northwest,,Washington,DC,20016,38.948523,-77.084721,0,3,Divorced,0,0840728074,1960-12-03
13,13,0,Gracie,Sutton,3138 P Street Northwest,,Washington,DC,20007,38.9091118,-77.0629963,1,4,Married,1,2806422088,1961-07-05
