,policy_id,policy_type,policy_description,policyholder_name,policy_start_date,policy_end_date,policy_length,premium_amount,estimated_coverage_total,deductible_amount
0,Pdd3e1a9b0,Health insurance,"A type of insurance policy that covers the medical and surgical expenses of the policyholder. Health insurance can cover hospital stays, doctor visits, prescription medications, and other health-related expenses.",Thomas Leatherman,2022-09-02,2023-08-06,338 days,1281,14432.6,400
1,Pdd3e41ae1,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",Duane Hodge,2022-09-24,2023-03-28,185 days,2658,16391.0,500
2,Pdd3e41b02,Auto insurance,"A type of insurance policy that protects drivers against financial loss if they are involved in a car accident. Auto insurance can cover damage to the insured vehicle, medical expenses, liability for damages to others, and other related expenses.",Jill Ellis,2019-10-02,2019-12-12,71 days,1989,4707.3,1800
3,Pdd3e68c23,Pet insurance,"A type of insurance policy that provides coverage for veterinary expenses related to the care of the policyholder's pet. Pet insurance can help cover expenses like medical treatments, surgeries, and medications.",Dortha Bales,2016-05-07,2017-01-08,246 days,496,4067.2,1700
4,Pdd3e68c54,Homeowners insurance,"A type of insurance policy that provides coverage for damage to the policyholder's home, as well as liability coverage for injuries or damage caused by the policyholder or their family members. Homeowners insurance may also cover personal belongings and additional living expenses if the policyholder's home is uninhabitable.",Jerry Fife,2021-12-13,2022-09-02,263 days,2384,20899.73,1900
5,Pdd3e68c75,Homeowners insurance,"A type of insurance policy that provides coverage for damage to the policyholder's home, as well as liability coverage for injuries or damage caused by the policyholder or their family members. Homeowners insurance may also cover personal belongings and additional living expenses if the policyholder's home is uninhabitable.",Margery Coker,2019-09-17,2020-04-21,217 days,1230,8897.0,400
6,Pdd3e8fd46,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",Jill Rogers,2014-08-04,2014-11-22,110 days,2694,9878.0,1900
7,Pdd3e8fd77,Pet insurance,"A type of insurance policy that provides coverage for veterinary expenses related to the care of the policyholder's pet. Pet insurance can help cover expenses like medical treatments, surgeries, and medications.",Flora Jones,2019-10-15,2020-04-27,195 days,1615,10497.5,200
8,Pdd3e8fda8,Pet insurance,"A type of insurance policy that provides coverage for veterinary expenses related to the care of the policyholder's pet. Pet insurance can help cover expenses like medical treatments, surgeries, and medications.",Ken Barker,2022-08-14,2023-04-28,257 days,442,3786.47,800
9,Pdd3eb6e69,Homeowners insurance,"A type of insurance policy that provides coverage for damage to the policyholder's home, as well as liability coverage for injuries or damage caused by the policyholder or their family members. Homeowners insurance may also cover personal belongings and additional living expenses if the policyholder's home is uninhabitable.",William Sammons,2013-12-19,2014-09-18,273 days,1322,12030.2,1500
