,id,first_name,last_name,address_line_1,address_line_2,address_city,address_state,address_zipcode,gender,marital_status,us_citizen,dob,survey_id,last_4_social,occupation,annual_income,net_worth,pilot_flag,scuba_flag,auto_racing_flag,recreational_climbing_flag,felony_flag,dui_flag,suspended_license_flag
0,0,Thomas,Leatherman,5526 Thalman Drive,,Brentwood,TN,37027,0,Divorced,0,1975-09-15,S50c2e82ddd500,2753,Officer,147309,147309,0,0,1,0,1,0,0
1,1,Duane,Hodge,11 Eclipse Court,,Alameda,CA,94501,1,Married,1,1959-05-18,S50c2e82ddd501,1618,Professional,60684,182052,1,1,0,1,1,1,0
2,2,Jill,Ellis,88 Florence Street,#1,New Bedford,MA,02740,0,Separated,0,1954-07-12,S50c2e82ddd502,7433,Counsel,38081,114243,1,0,0,1,1,1,0
3,3,Dortha,Bales,3219 Lakeshore Drive,,Nashville,TN,37138,1,Widowed,1,1991-06-13,S50c2e82ddd503,8959,Engineer,194172,0,0,0,1,0,0,0,1
4,4,Jerry,Fife,1309 Clay Avenue,,Panama City,FL,32401,1,Separated,1,1970-01-18,S50c2e82ddd504,5255,Agent,175391,701564,0,0,1,1,1,1,0
5,5,Margery,Coker,7096 Park Mesa Way,#57,San Diego,CA,92111,0,Widowed,0,1964-09-03,S50c2e82ddd505,7522,Boss,156366,781830,1,0,1,0,0,1,1
6,6,Jill,Rogers,15267 Hesperian Boulevard,#32,San Leandro,CA,94578,1,Divorced,1,1963-01-07,S50c2e82ddd506,0190,Vice-president,37713,188565,1,0,1,1,0,1,1
7,7,Flora,Jones,173 Spruce Street,#18,Manchester,CT,06040,1,Single,0,1955-03-04,S50c2e82ddd507,7784,Vice-president,97673,195346,0,1,0,1,1,0,0
8,8,Ken,Barker,141 Lavigne Road,,Colchester,VT,05446,0,Married,0,1960-10-16,S50c2e82ddd508,7585,Director,195902,195902,0,1,1,1,1,0,0
9,9,William,Sammons,445 South Potomac Circle,,Aurora,CO,80012,1,Separated,1,1988-08-27,S50c2e82ddd509,7908,Partner,170913,341826,1,0,0,1,1,0,1
